time,population,Conc
0,R,1e6
1,R,1.0098894432413512
2,R,1.019886343129572
3,R,1.02987314502325
4,R,1.03983448852045
5,R,1.0497493667491575
6,R,1.0595961434828942
7,R,1.0693562428211736
8,R,1.0790154252395392
9,R,1.088563251698865
10,R,1.0979934745537774
11,R,1.1073009476895876
12,R,1.1164824219143978
13,R,1.125535164088329
14,R,1.1344574815138655
15,R,1.1432479342706394
16,R,1.151905287505964
17,R,1.1604285897228601
18,R,1.168816906061486
19,R,1.1770698274171554
20,R,1.1851865557402737
21,R,1.1931669875031383
22,R,1.20101074239658
23,R,1.2087178057356094
24,R,1.216288223635786
25,R,1.2237221522735648
26,R,1.2310198789929296
27,R,1.2381818073765607
28,R,1.2452084476627323
29,R,1.252100415110552
30,R,1.2588584251965975
31,R,1.2654832879334024
32,R,1.2719759034600053
33,R,1.27833725727363
34,R,1.2845684151590833
35,R,1.2906705184639342
36,R,1.2966447801525178
37,R,1.302492476463592
38,R,1.308214948200818
39,R,1.3138136004464387
40,R,1.3192898815496943
41,R,1.3246452792481858
42,R,1.3298813516480117
43,R,1.3349997013948027
44,R,1.340001910084821
45,R,1.344889619339147
46,R,1.3496646124689802
47,R,1.3543285081544105
48,R,1.3588831166152286
49,R,1.3633300144295433
50,R,1.3676712412639354
51,R,1.3719082829964533
52,R,1.3760432349067426
53,R,1.3800773760478762
54,R,1.384013588854033
55,R,1.3878517578504106
56,R,1.3915959829396187
57,R,1.3952469692634655
58,R,1.398806233087677
59,R,1.402275831903782
60,R,1.4056574767848986
61,R,1.4089532795634714
62,R,1.4121646302360786
63,R,1.4152937074002843
64,R,1.4183416544423233
65,R,1.4213110579685626
66,R,1.4242023614765555
67,R,1.4270183208700022
68,R,1.4297602718728586
69,R,1.4324298514283689
70,R,1.4350287152874852
71,R,1.4375584641620438
72,R,1.4400206879844673
73,R,1.4424169584534778
74,R,1.4447488354607707
75,R,1.4470178202159183
76,R,1.449225378900477
77,R,1.4513730085400165
78,R,1.4534621835930162
79,R,1.4554942853201889
80,R,1.457470696579684
81,R,1.4593928528600584
82,R,1.4612620937458594
83,R,1.463079658681443
84,R,1.4648468905623817
85,R,1.4665651551204548
86,R,1.4682355472997692
87,R,1.4698593849873254
88,R,1.4714377922294293
89,R,1.4729720636247778
90,R,1.4744631772355696
91,R,1.475912465822236
92,R,1.4773207284662804
93,R,1.4786894635617611
94,R,1.4800192626642243
95,R,1.4813115211160794
96,R,1.482566833846914
97,R,1.4837868134306238
98,R,1.4849715613629544
99,R,1.4861231534230637
100,R,1.4872409508831295
101,R,1.4883279389751758
102,R,1.4893827488455291
103,R,1.4904079727882893
104,R,1.4914025892678642
105,R,1.4923702167547916
106,R,1.4933085877249594
107,R,1.4942203942606231
108,R,1.4951058429548938
109,R,1.4959656694718566
110,R,1.4968005981262649
111,R,1.4976113177630888
112,R,1.4983985048510644
113,R,1.4991628207390306
114,R,1.4999049083632934
115,R,1.500625394820528
116,R,1.5013248853655374
117,R,1.5020039693282192
118,R,1.5026632262383328
119,R,1.5033032210489652
120,R,1.5039244980262323
121,R,1.504527588479186
122,R,1.5051130151086656
123,R,1.5056812814195328
124,R,1.506232872635399
125,R,1.5067682697801201
126,R,1.507287941580535
127,R,1.5077923335103944
128,R,1.508281887305394
129,R,1.5087570301652062
130,R,1.5092181776291327
131,R,1.5096657338466575
132,R,1.5101000917155758
133,R,1.5105216332502795
134,R,1.510930729837807
135,R,1.5113277425052287
136,R,1.5117130221884443
137,R,1.512086909988317
138,R,1.5124497374335764
139,R,1.5128018266874623
140,R,1.5131434908292054
141,R,1.5134750341563996
142,R,1.5137967523839095
143,R,1.514108932740591
144,R,1.5144118542748792
145,R,1.5147057882022392
146,R,1.5149909978989489
147,R,1.5152677392721938
148,R,1.5155362608996905
149,R,1.5157968042296666
150,R,1.516049603784466
151,R,1.5162948873488002
152,R,1.5165328761524628
153,R,1.5167637850489424
154,R,1.5169878226916154
155,R,1.5172051917060099
156,R,1.5174160888567778
157,R,1.5176207052099864
158,R,1.517819226291556
159,R,1.518011832242017
160,R,1.5181986979673419
161,R,1.518379993285723
162,R,1.518555883070472
163,R,1.5187265273892512
164,R,1.5188920816397264
165,R,1.5190526966816644
166,R,1.5192085189654827
167,R,1.5193596906575024
168,R,1.5195063497616337
169,R,1.519648630238068
170,R,1.5197866621186489
171,R,1.51992057161917
172,R,1.5200504812486222
173,R,1.5201765099154845
174,R,1.5202987730311197
175,R,1.520417382610348
176,R,1.5205324473692594
177,R,1.5206440728203419
178,R,1.5207523613649818
179,R,1.520857412383412
180,R,1.5209593223221625
181,R,1.5210581847790832
182,R,1.521154090585992
183,R,1.5212471278890196
184,R,1.521337382226701
185,R,1.5214249366058745
186,R,1.5215098715754425
187,R,1.5215922652980818
188,R,1.5216721936198618
189,R,1.5217497301379646
190,R,1.5218249462664406
191,R,1.5218979113001145
192,R,1.5219686924766616
193,R,1.52203735503692
194,R,1.522103962283478
195,R,1.5221685756375862
196,R,1.522231254694439
197,R,1.5222920572768657
198,R,1.5223510394874866
199,R,1.5224082557593568
200,R,1.5224637589051637
0,N,100
1,N,990205.4100185828
2,N,980499.4325863178
3,N,970991.405332342
4,N,961689.5544588552
5,N,952606.3969058878
6,N,943753.8650372745
7,N,935140.1514211552
8,N,926768.9127859873
9,N,918639.9148362807
10,N,910750.1484022937
11,N,903094.8679479219
12,N,895668.3619190379
13,N,888464.4581471372
14,N,881476.8251357384
15,N,874699.1402433404
16,N,868125.178270549
17,N,861748.8559820423
18,N,855564.249451878
19,N,849565.603432238
20,N,843747.3299870694
21,N,838104.0071676265
22,N,832630.375042215
23,N,827321.3312936173
24,N,822171.9269790282
25,N,817177.3618064803
26,N,812332.9793772768
27,N,807634.2637526206
28,N,803076.834848967
29,N,798656.4442217326
30,N,794368.971091371
31,N,790210.4185617943
32,N,786176.909935024
33,N,782264.6851017552
34,N,778470.0970504548
35,N,774789.6083466713
36,N,771219.7883880876
37,N,767757.3094576133
38,N,764398.9434471753
39,N,761141.5592917025
40,N,757982.1204434303
41,N,754917.6818641202
42,N,751945.3869726425
43,N,749062.4649390219
44,N,746266.2282407432
45,N,743554.070238404
46,N,740923.4626921628
47,N,738371.9534357402
48,N,735897.1638936293
49,N,733496.7869758564
50,N,731168.5850589388
51,N,728910.3855342602
52,N,726720.0907045426
53,N,724595.6547073324
54,N,722535.1031150914
55,N,720536.5121581047
56,N,718598.0155903237
57,N,716717.805093265
58,N,714894.1298835281
59,N,713125.2839622132
60,N,711409.6162801244
61,N,709745.5263058175
62,N,708131.4706670011
63,N,706565.946944276
64,N,705047.499455616
65,N,703574.7088831406
66,N,702146.205290898
67,N,700760.6550531597
68,N,699416.7648026899
69,N,698113.2810638377
70,N,696848.9886642778
71,N,695622.7104840676
72,N,694433.2994912241
73,N,693279.6455601108
74,N,692160.6726095355
75,N,691075.3428882862
76,N,690022.6470788693
77,N,689001.6032554238
78,N,688011.2584863381
79,N,687050.6892134565
80,N,686119.0002243158
81,N,685215.3233108424
82,N,684338.8162382767
83,N,683488.6620011881
84,N,682664.0681532522
85,N,681864.2661038201
86,N,681088.5095643782
87,N,680336.0779849344
88,N,679606.2686340748
89,N,678898.4033170883
90,N,678211.8212466683
91,N,677545.8814672272
92,N,676899.9628277068
93,N,676273.4632036078
94,N,675665.798668892
95,N,675076.4029594512
96,N,674504.7267760044
97,N,673950.2373168455
98,N,673412.4178006178
