dilution,spo.time,ratio,N,S
0.01,1,0.33333334352045246,666666.1109187235,333333.0707400279
0.03,1,0.2000000000065796,799999.000020123,199999.75001325525
0.06,1,0.12500000000000008,874999.0000000008,124999.85714285736
0.09,1,0.09090909090909086,909089.9090909095,90908.99090909089
0.15,1,0.058823529411764705,941175.4705882354,58823.46691176471
0.3,1,0.03125,968749.0000000001,31249.96774193549
0.6,1,0.016129032258064516,983869.9677419356,16129.015864621893
0.9,1,0.010869565217391304,989129.4347826088,10869.554228380315
1,1,0.009803921568627453,990195.0784313725,9803.911667637352
0.01,3,0.3246331863590937,662316.0210814208,324632.9218838702
0.03,3,0.18780048077646788,796949.1202122868,187800.2451338765
0.06,3,0.11099518280906617,872998.3118298674,110995.05566671772
0.09,3,0.07639419404125282,907638.4194041257,76394.10987325352
0.15,3,0.04443654461429077,940276.2840383935,44436.497355311585
0.3,3,0.018483263404986783,968337.1697872578,18483.244317374647
0.6,3,0.006299371322741991,983708.8257593891,6299.364919053465
0.9,3,0.0030106970064639658,989043.0735934777,3010.6939624166007
1,3,0.002450800186260814,990122.2752493689,2450.7977110132892
0.01,6,0.31210598561655656,656052.4048250013,312105.73321757664
0.03,6,0.17095590094856125,792737.9752548975,170955.68530234348
0.06,6,0.09291801600121954,870415.8594287464,92917.9092500521
0.09,6,0.0588764814992629,905886.6481499267,58876.4165061243
0.15,6,0.029188135513274528,939323.2584695799,29188.104439728577
0.3,6,0.008410132490620116,968012.2300803427,8410.123802585462
0.6,6,0.001537810415336512,983630.767383858,1537.8088519359935
0.9,6,4.389285578156725e-4,989014.8124017343,438.92811401229517
1,6,3.0634345389990534e-4,990101.043004494,306.34314449396476
0.01,9,0.3001717402230073,650085.2661777282,300171.4992233158
0.03,9,0.155695971284879,788922.9928386379,155695.7739381754
0.06,9,0.07782246955547846,868259.3527936405,77822.37992513976
0.09,9,0.04539579133967356,904538.5791339679,45395.741153045616
0.15,9,0.019178891489612757,938697.680718101,19178.871058251894
0.3,9,0.0038274229149663167,967864.4007391924,3827.4189604671556
0.6,9,3.7543472270734526e-4,983611.7120446344,375.43434101776546
0.9,9,6.399281663055672e-5,989010.6922287543,63.99275192675481
1,9,3.8292829093359836e-5,990098.3890379118,38.29279041761726
