"","time","population","Conc"
"1",0,"R",1e+06
"2",100,"R",4.90176742342323
"3",200,"R",4.90241197569464
"4",300,"R",4.90087121700403
"5",400,"R",4.900304355498
"6",500,"R",4.9000963423135
"7",600,"R",4.90002008897962
"8",700,"R",4.89999214749262
"9",800,"R",4.899981910295
"10",900,"R",4.8999782945769
"11",1000,"R",4.89997681423234
"12",1100,"R",4.8999762936587
"13",1200,"R",4.89997609391541
"14",1300,"R",4.8999760278483
"15",1400,"R",4.89997599984962
"16",1500,"R",4.89997599646349
"17",1600,"R",4.89997599181561
"18",1700,"R",4.8999759899946
"19",1800,"R",4.89997598896043
"20",1900,"R",4.89997598862379
"21",2000,"R",4.89997598839812
"22",2100,"R",4.89997598872165
"23",2200,"R",4.89997598822992
"24",2300,"R",4.89997598937236
"25",2400,"R",4.89997598637621
"26",2500,"R",4.8999759090943
"27",2600,"R",4.89997605210668
"28",2700,"R",4.89997594432495
"29",2800,"R",4.89997598199465
"30",2900,"R",4.89997597333104
"31",3000,"R",4.89997598926295
"32",3100,"R",4.89997598867136
"33",3200,"R",4.89997598806891
"34",3300,"R",4.89997598772531
"35",3400,"R",4.89997598778682
"36",3500,"R",4.89997598824215
"37",3600,"R",4.89997598823953
"38",3700,"R",4.89997598887819
"39",3800,"R",4.89997598823508
"40",3900,"R",4.89997598832884
"41",4000,"R",4.89997598833696
"42",4100,"R",4.89997598833481
"43",4200,"R",4.89997598833393
"44",4300,"R",4.89997598833332
"45",4400,"R",4.8999759883327
"46",4500,"R",4.89997598833193
"47",4600,"R",4.89997598833115
"48",4700,"R",4.89997598833051
"49",4800,"R",4.89997598832993
"50",4900,"R",4.89997598832921
"51",5000,"R",4.89997598832842
"52",5100,"R",4.89997598832776
"53",5200,"R",4.89997598832719
"54",5300,"R",4.89997598832649
"55",5400,"R",4.8999759883257
"56",5500,"R",4.89997598832503
"57",5600,"R",4.89997598832446
"58",5700,"R",4.89997598832377
"59",5800,"R",4.89997598832302
"60",5900,"R",4.89997598832237
"61",6000,"R",4.89997598832169
"62",6100,"R",4.89997598832101
"63",6200,"R",4.89997598832033
"64",6300,"R",4.89997598831966
"65",6400,"R",4.89997598831898
"66",6500,"R",4.8999759883183
"67",6600,"R",4.89997598831763
"68",6700,"R",4.89997598831695
"69",6800,"R",4.89997598831628
"70",6900,"R",4.8999759883156
"71",7000,"R",4.89997598831493
"72",7100,"R",4.89997598831426
"73",7200,"R",4.89997598831358
"74",7300,"R",4.89997598831292
"75",7400,"R",4.89997598831224
"76",7500,"R",4.89997598831157
"77",7600,"R",4.8999759883109
"78",7700,"R",4.89997598831023
